comments,hotness,link,price_after_discount,price_before_discount,title,username
,200,https://www.pepper.pl/promocje/30-za-darmo-kindle-ebook-bonsai-cupcake-muffin-all-countries-capitals-flags-meditation-mindfulness-chatgpt-more-at-amazon-683562, Okazje,"0,01zł","30+ Za Darmo Kindle eBook: Bonsai, Cupcake & Muffin, All countries, capitals & flags, Meditation & Mindfulness, ChatGPT & More at Amazon",krzychu69
,202,https://www.pepper.pl/promocje/toocki-140w-qc-pd-gan-ladowarka-683374, Okazje,180zł,"Toocki 140W, QC, PD, GaN ładowarka",dr_wyspa
,218,https://www.pepper.pl/promocje/canyon-stoic-2-683602, Okazje,price not available,Canyon Stoic 2,Osa_Ossa
,202,https://www.pepper.pl/promocje/garmin-7s-solar-black-683590,"
			  	      45zł
	  	
	","
			  	      45zł
	  	
	",Smartwatch Garmin 7s solar black,Szklarnik
,220,https://www.pepper.pl/promocje/gamepad-gamesir-2-pro-xbox-for-android-darmowa-wysylka-z-czech-at-geekbuying-683531, Okazje,"298,08zł",Gamepad GameSir 2 Pro Xbox for Android (darmowa wysyłka z Czech) @ Geekbuying,Artur_Kot
,260,https://www.pepper.pl/promocje/ikea-family-50zl-zwrotu-na-kupon-za-kazde-wydane-500zl-na-kuchnie-lub-agd-683599, Okazje,price not available,IKEA Family 50zł zwrotu na kupon za każde wydane 500zł na kuchnie lub AGD,Kacper_Pi
,240,https://www.pepper.pl/promocje/maskotka-psi-patrol-pluszowy-rocky-15cm-gund-darmowa-dostawa-z-amazon-prime-683396,"
			  	      8,99zł
	  	
	","48,20zł",Maskotka Psi Patrol Pluszowy Rocky oraz Chase 15Cm (cena za 1 szt.) Gund (Darmowa Dostawa z Amazon Prime),morgan14
,243,https://www.pepper.pl/promocje/czekolady-lindt-excellence-mango-i-migdal-100g-i-inne-683581, Okazje, Darmowa dostawa ,Czekolady LINDT - EXCELLENCE Mango i Migdał 100g i inne,nineoclock
,244,https://www.pepper.pl/promocje/puma-buty-sportowe-st-runner-v3-l384855-11-683180, Okazje,"199,99zł",Puma Buty sportowe St Runner V3 L384855 11,Patek00
,335,https://www.pepper.pl/promocje/pad-microsoft-xbox-series-kontroler-bezprzewodowy-do-xbox-pc-robot-white-683625, Okazje, Darmowa dostawa ,"Pad Xbox Series kontroler bezprzewodowy do Xbox, PC - robot white, pulse red, deep pink, shock blue, electric volt i carbon black po 209 zł",megalodon
,1054,https://www.pepper.pl/promocje/assassins-creed-valhalla-ar-vpn-activated-xbox-one-xbox-series-xs-cd-key-wymagany-vpn-680514, Okazje,price not available,Assassin's Creed Valhalla AR VPN Activated XBOX One / Xbox Series X|S CD Key - wymagany VPN,megalodon
,311,https://www.pepper.pl/promocje/rebel-gra-planszowa-odjechane-jednorozce-bez-cenzury-683548,"
			  	      8,99zł
	  	
	","73,99zł","Rebel, Gra planszowa, Odjechane Jednorożce: Bez cenzury",ZaDarmoToUczciwaCenaXD
,297,https://www.pepper.pl/promocje/pret-a-porter-original-woda-toaletowa-dla-kobiet-perfumy-damskie-50-ml-683565,"
			  	      8,90zł
	  	
	",20zł,"Prêt à Porter Original woda toaletowa dla kobiet, perfumy damskie, 50 ml",muszkin03
,325,https://www.pepper.pl/promocje/topaz-piwo-lomza-wyborowe-683550, Okazje,price not available,TOPAZ Piwo Łomża Wyborowe przy zakupie 3szt.,Werter
,660,https://www.pepper.pl/promocje/whisky-johnnie-walker-black-label-07l-40-12yo-2-miniaturki-at-dino-683620, Okazje,"99,99zł","Whisky JOHNNIE WALKER BLACK LABEL 0,7L / 40% / 12YO + 2 miniaturki @ DINO",borsukje
,276,https://www.pepper.pl/promocje/robot-koszacy-einhell-freelexo-600-bluetooth-683332,"
			  	      12,99zł
	  	
	","
			  	      12,99zł
	  	
	",Robot koszący Einhell Freelexo 600 Bluetooth,Marten
,485,https://www.pepper.pl/promocje/xiaomi-redmi-note-12-464gb-683608,price not available,999zł,Smartfon XIAOMI Redmi Note 12 4/64GB.,vader211
,409,https://www.pepper.pl/promocje/playstation-5-digital-mozliwe-202950-683468, Okazje, Darmowa dostawa ,"Konsola Sony Playstation 5 digital (możliwe 2029,50)",Sircinus
,279,https://www.pepper.pl/promocje/nawigacja-rowerowa-hammerhead-karoo-2-295-euro-zwrot-do-45dni-682777,price not available, Darmowa dostawa ,"Nawigacja rowerowa Hammerhead Karoo 2 - 259 Euro, zwrot do 45dni,",First_NameTFl
,232,https://www.pepper.pl/promocje/lazy-bag-worek-xxl-400l-gigantyczny-bawelniany-worek-180x140cm-683560,"
			  	      8,99zł
	  	
	","
			  	      8,99zł
	  	
	","LAZY BAG Indoor & Outdoor Beanbag XXL 400L Giant Beanbag Seat Cushion Armchair for Kids & Adults 180x140cm (Nylon, Fioletowy)",joshep
